20080401,Ito,21:10
20080401,Kobayashi,17:20
20080401,Nakamura,17:20
20080401,Saito,18:00
20080401,Satou,17:20
20080401,Suzuki,22:15
20080401,Takahashi,20:55
20080401,Tanaka,17:20
20080401,Watanabe,17:20
20080401,Yamamoto,17:20
20080402,Ito,18:15
20080402,Kobayashi,17:20
20080402,Nakamura,17:20
20080402,Saito,17:20
20080402,Satou,17:20
20080402,Suzuki,18:00
20080402,Takahashi,17:20
20080402,Tanaka,17:20
20080402,Watanabe,21:35
20080402,Yamamoto,17:20
20080403,Ito,19:25
20080403,Kobayashi,17:20
20080403,Nakamura,17:20
20080403,Saito,18:15
20080403,Satou,17:20
20080403,Suzuki,21:40
20080403,Takahashi,20:10
20080403,Tanaka,17:20
20080403,Watanabe,23:20
20080403,Yamamoto,17:20
20080404,Ito,21:20
20080404,Kobayashi,17:20
20080404,Nakamura,17:20
20080404,Saito,17:20
20080404,Satou,17:20
20080404,Suzuki,22:35
20080404,Takahashi,20:50
20080404,Tanaka,17:20
20080404,Watanabe,18:30
20080404,Yamamoto,17:20
20080407,Ito,17:20
20080407,Kobayashi,17:20
20080407,Nakamura,17:20
20080407,Saito,17:20
20080407,Satou,17:20
20080407,Suzuki,20:10
20080407,Takahashi,21:45
20080407,Tanaka,17:20
20080407,Watanabe,22:45
20080407,Yamamoto,17:20
20080408,Ito,19:10
20080408,Kobayashi,17:20
20080408,Nakamura,17:20
20080408,Saito,18:25
20080408,Satou,17:20
20080408,Suzuki,23:15
20080408,Takahashi,0:30
20080408,Tanaka,17:20
20080408,Watanabe,21:05
20080408,Yamamoto,17:20
20080409,Ito,17:20
20080409,Kobayashi,17:20
20080409,Nakamura,17:20
20080409,Saito,17:20
20080409,Satou,17:20
20080409,Suzuki,17:20
20080409,Takahashi,23:45
20080409,Tanaka,17:20
20080409,Watanabe,20:30
20080409,Yamamoto,17:20
20080410,Ito,17:20
20080410,Kobayashi,17:20
20080410,Nakamura,17:20
20080410,Saito,18:25
20080410,Satou,17:20
20080410,Suzuki,17:25
20080410,Takahashi,23:30
20080410,Tanaka,17:20
20080410,Watanabe,23:50
20080410,Yamamoto,17:20
